8.1, ,2 CB CARREFOURMARKET 06/12/16 08.12.16                18.14, , ,8/12/2017
8.1, ,2 CB CARREFMARKETDAC 06/12/16 08.12.16                44.58, , ,8/12/2017
8.1, ,2 CB GGE ST GEORGES 07/12/16 08.12.16                 8.50, , ,8/12/2017
8.1, ,2 CB Sapn 2911-0512 01/12/16 08.12.16                 8.00, , ,8/12/2017
9.1, ,2 CB LOMMIS ALINE 08/12/16 09.12.16                 7.70, , ,9/12/2017
9.1, ,2 CB CARREFOURMARKET 07/12/16 09.12.16                24.50, , ,9/12/2017
9.1, ,2 PRLV SEPA SFR 09.12.16                35.34, , ,9/12/2017
12.1, ,2 CB KFC FRANCE 11/12/16 12.12.16                13.80, , ,12/12/2017
12.1, ,2 CB CARREFOURMARKET 09/12/16 12.12.16                27.23, , ,12/12/2017
12.1, ,2 CB NO STRESS CAFE 11/12/16 12.12.16                17.00, , ,12/12/2017
12.1, ,2 CB BOUIGAGANE 10/12/16 12.12.16                19.01, , ,12/12/2017
12.1, ,2 CB BF MARLY 015 09/12/16 12.12.16                18.60, , ,12/12/2017
14.1, ,2 CB IL ETAIT UN SQUA 12/12/16 14.12.16                16.00, , ,14/12/2017
14.1, ,2 CB CARREFOURMARKET 12/12/16 14.12.16                33.76, , ,14/12/2017
14.1, ,2 CB BP ROCQUENCOURT 13/12/16 14.12.16                43.79, , ,14/12/2017
15.1, ,2 CB RETRAIT DU 14/12 PARIS CORVISART 15.12.16                40.00, , ,15/12/2017
15.1, ,2 CB CARREFOURMARKET 13/12/16 15.12.16                14.47, , ,15/12/2017
15.1, ,2 CB Burger King 14/12/16 15.12.16                14.30, , ,15/12/2017
15.1, ,2 CB LE CAFE DES ARTS 14/12/16 15.12.16                13.00, , ,15/12/2017
15.1, ,2 CB LE PETIT CAFE 14/12/16 15.12.16                33.70, , ,15/12/2017
16.1, ,2 CB WOK LIN 15/12/16 16.12.16                15.80, , ,16/12/2017
16.1, ,2 CB CASTORAMA 15/12/16 16.12.16                 9.80, , ,16/12/2017
16.1, ,2 VIREMENT RECU 16.12.16             2 380.98, , ,16/12/2017
19.1, ,2 CB CARREFOUR CITY 17/12/16 19.12.16                21.53, , ,19/12/2017
19.1, ,2 CB ILE AUX SINGES 16/12/16 19.12.16                23.50, , ,19/12/2017
19.1, ,2 CB SARL OEL 18/12/16 19.12.16                13.95, , ,19/12/2017
19.1, ,2 CB LE TEMPS DES CE 17/12/16 19.12.16                24.00, , ,19/12/2017
19.1, ,2 CB CARREFOURMARKET 16/12/16 19.12.16                12.08, , ,19/12/2017
19.1, ,2 VIREMENT CityA 19.12.16               321.43, , ,19/12/2017
20.1, ,2 CB DELIVEROOFR 18/12/16 20.12.16                16.40, , ,20/12/2017
20.1, ,2 CB AMIRAL CHICKEN 19/12/16 20.12.16                14.00, , ,20/12/2017
21.1, ,2 CB NO STRESS CAFE 20/12/16 21.12.16                34.00, , ,21/12/2017
21.1, ,2 CB ARRET GALETTE 20/12/16 21.12.16                15.00, , ,21/12/2017
21.1, ,2 CB CARREFOURMARKET 19/12/16 21.12.16                19.60, , ,21/12/2017
23.1, ,2 CB RETRAIT DU 22/12 PARIS CORVISART 23.12.16                80.00, , ,23/12/2017
23.1, ,2 CB LOMMIS ALINE 22/12/16 23.12.16                 7.70, , ,23/12/2017
23.1, ,2 CB CARREFMARKETDAC 21/12/16 23.12.16                43.85, , ,23/12/2017
23.1, ,2 CB GIRASOLE DUE 22/12/16 23.12.16                12.15, , ,23/12/2017
26.1, ,2 CB ARRET GALETTE 22/12/16 26.12.16                15.00, , ,26/12/2017
26.1, ,2 CB RATP 23/12/16 26.12.16                10.00, , ,26/12/2017
26.1, ,2 CB DELIVEROOFR 21/12/16 26.12.16                19.00, , ,26/12/2017
27.1, ,2 COTISATION MENSUELLE CARTE 4162 28.12.16                 3.55                    ., , ,27/12/2017
29.1, ,2 LCL A LA CARTE 29.12.16                 0.25, , ,29/12/2017
29.1, ,2 PRLV SEPA SFR FIXE ADSL 29.12.16                55.01, , ,29/12/2017
30.1, ,2 CB AMAZON PAYMENTS 27/12/16 30.12.16                14.94, , ,30/12/2017
30.1, ,2 CB AMAZON PAYMENTS 28/12/16 30.12.16                16.17, , ,30/12/2017
02.01 CB RETRAIT DU 28/12/16 ATM ALPH 02.01.17, ,180, , ,2/1/2017
03.01 CB SNCF 02/01/17 03.01.17, ,10, , ,3/1/2017
04.01 CB SUPER U 03/01/17 04.01.17, ,28.18, , ,4/1/2017
04.01 CB ILE AUX SINGES 03/01/17 04.01.17, ,26.5, , ,4/1/2017
04.01 CB IL ETAIT UN SQUA 02/01/17 04.01.17, ,16, , ,4/1/2017
04.01 CB BF MARLY 015 03/01/17 04.01.17, ,14.95, , ,4/1/2017
04.01 VIREMENT ADIDOR VOITURES 04.01.17, ,             2 500.00, , ,4/1/2017
06.01 CB RETRAIT DU 05/01 PARIS CORVISART 06.01.17, ,30, , ,6/1/2017
06.01 CB CARREFOURMARKET 04/01/17 06.01.17, ,11.56, , ,6/1/2017
06.01 CB WOK LIN 05/01/17 06.01.17, ,15.8, , ,6/1/2017
